"gene_id","count","log10_count"
"YCL022C",21,1.34242268082221
"YCL023C",2,0.477121254719662
"YCL024W",67,1.83250891270624
"YCL025C",1315,3.11925588927794
"YCL026C-A",23,1.38021124171161
"YCL026C-B",67,1.83250891270624
"YCL027W",6,0.845098040014257
"YCL028W",84,1.92941892571429
"YCL029C",28,1.46239799789896
"YCL030C",121,2.08635983067475
"YCL031C",37,1.57978359661681
"YCL032W",29,1.47712125471966
"YCL033C",34,1.54406804435028
"YCL034W",60,1.78532983501077
"YCL035C",277,2.44404479591808
"YCL036W",19,1.30102999566398
"YCL037C",32,1.51851393987789
"YCL038C",96,1.98677173426624
"YCL039W",34,1.54406804435028
"YCL040W",255,2.40823996531185
"YCL041C",3,0.602059991327962
"YCL042W",1,0.301029995663981
"YCL043C",409,2.61278385671974
"YCL044C",26,1.43136376415899
"YCL045C",118,2.07554696139253
"YCL046W",5,0.778151250383644
"YCL047C",13,1.14612803567824
"YCL048W",4,0.698970004336019
"YCL048W-A",2,0.477121254719662
"YCL049C",44,1.65321251377534
"YCL050C",128,2.11058971029925
"YCL051W",44,1.65321251377534
"YCL052C",95,1.98227123303957
"YCL054W",63,1.80617997398389
"YCL054W-A",0,0
"YCL055W",18,1.27875360095283
"YCL056C",25,1.41497334797082
"YCL057C-A",349,2.54406804435028
"YCL057W",106,2.02938377768521
"YCL058C",56,1.75587485567249
"YCL058W-A",39,1.60205999132796
"YCL059C",62,1.79934054945358
"YCL061C",47,1.68124123737559
"YCL063W",15,1.20411998265592
"YCL064C",52,1.72427586960079
"YCL065W",0,0
"YCL066W",0,0
"YCL067C",0,0
"YCL068C",0,0
"YCL069W",0,0
"YCL073C",0,0
"YCL074W",8,0.954242509439325
"YCL075W",0,0
"YCL076W",5,0.778151250383644
"YCR001W",2,0.477121254719662
"YCR002C",62,1.79934054945358
"YCR003W",54,1.74036268949424
"YCR004C",97,1.99122607569249
"YCR005C",155,2.19312459835446
"YCR006C",3,0.602059991327962
"YCR007C",13,1.14612803567824
"YCR008W",115,2.06445798922692
"YCR009C",173,2.2405492482826
"YCR010C",3,0.602059991327962
"YCR011C",180,2.25767857486918
"YCR012W",2191,3.34084054981233
"YCR013C",1193,3.07700432679335
"YCR014C",47,1.68124123737559
"YCR015C",23,1.38021124171161
"YCR016W",66,1.82607480270083
"YCR017C",111,2.04921802267018
"YCR018C",8,0.954242509439325
"YCR018C-A",0,0
"YCR019W",20,1.32221929473392
"YCR020C",59,1.77815125038364
"YCR020C-A",33,1.53147891704226
"YCR020W-B",28,1.46239799789896
"YCR021C",1525,3.18355453361886
"YCR022C",0,0
"YCR023C",67,1.83250891270624
"YCR024C",23,1.38021124171161
"YCR024C-A",253,2.40483371661994
"YCR024C-B",418,2.6222140229663
"YCR025C",3,0.602059991327962
"YCR026C",67,1.83250891270624
"YCR027C",19,1.30102999566398
"YCR028C",39,1.60205999132796
"YCR028C-A",159,2.20411998265593
"YCR030C",62,1.79934054945358
"YCR031C",374,2.57403126772772
"YCR032W",75,1.88081359228079
"YCR033W",156,2.19589965240923
"YCR034W",58,1.77085201164214
